ID,Date,ProductID,SalesPerson,Quantity
59464dac,2025-06-02,17,1,2
5594d7fb,2025-06-16,5,7,4
17a0c103,2025-10-20,14,7,3
618c3d0d,2025-01-17,7,3,3
171068a9,2025-10-15,8,16,1
1d4f0260,2025-12-17,13,11,2
3099ffbb,2025-07-19,4,2,3
c57c1289,2025-02-23,7,8,3
c87f6874,2025-05-16,3,14,4
67a010dd,2025-12-10,13,11,3
eb0d97f6,2025-04-04,10,3,2
751d8cc7,2025-11-05,2,15,1
d92561c1,2025-07-05,14,12,1
b9153d95,2025-09-07,3,3,1
0c171e1b,2025-02-21,5,12,1
77144d4a,2025-04-03,3,4,1
dfd07677,2025-12-17,13,11,4
66e5a334,2025-03-11,11,3,1
512fbfc6,2025-07-02,12,14,2
859b19b4,2025-02-06,14,17,3
